Class,DTWC,DW,IDFP,IDS,ISQLQ,IGS,LT,MIM,SL
com.example.android.architecture.blueprints.todoapp.databinding.TaskItemBinding,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.StatisticsFragBinding,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.AddtaskFragBinding,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.TaskdetailFragBinding,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.TasksFragBinding,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.AddtaskActBinding,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.AddtaskFragBindingImpl,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.AddtaskActBindingImpl,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.TaskItemBindingImpl,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.TaskdetailFragBindingImpl,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.TasksFragBindingImpl,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.databinding.StatisticsFragBindingImpl,0,0,0,0,0,0,0,1,0
androidx.databinding.DataBindingComponent,0,0,0,0,0,0,0,0,0
androidx.databinding.DataBinderMapperImpl,0,0,0,0,0,0,0,0,0
androidx.databinding.library.baseAdapters.BR,0,0,0,0,0,0,0,0,0
androidx.databinding.library.baseAdapters.R,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.generated.callback.OnClickListener,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.DataBinderMapperImpl,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.BR,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.DataBindingInfo,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.BuildConfig,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.R,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.Injection,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.TestUtils,0,0,0,0,0,0,1,0,0
com.example.android.architecture.blueprints.todoapp.TestUtils,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.LiveDataTestUtil,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.Injection,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.SwipeRefreshLayoutDataBinding,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.Event,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.ScrollChildSwipeRefreshLayout,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.ViewModelHolder,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.ViewModelFactory,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase_Impl,0,0,0,0,0,0,0,1,1
com.example.android.architecture.blueprints.todoapp.data.source.local.TasksDao_Impl,0,1,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.local.TasksDaoTest,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.local.TasksLocalDataSourceTest,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.local.TasksDao,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.local.TasksLocalDataSource,0,0,0,0,0,0,1,1,0
androidx.transition.R,0,0,0,0,0,0,0,0,0
androidx.asynclayoutinflater.R,0,0,0,0,0,0,0,0,0
androidx.room.R,0,0,0,0,0,0,0,0,0
androidx.core.R,0,0,0,0,0,0,0,0,0
androidx.drawerlayout.R,0,0,0,0,0,0,0,0,0
androidx.interpolator.R,0,0,0,0,0,0,0,0,0
androidx.test.espresso.R,0,0,0,0,0,0,0,0,0
androidx.versionedparcelable.R,0,0,0,0,0,0,0,0,0
androidx.viewpager.R,0,0,0,0,0,0,0,0,0
androidx.vectordrawable.R,0,0,0,0,0,0,0,0,0
androidx.lifecycle.viewmodel.R,0,0,0,0,0,0,0,0,0
androidx.lifecycle.livedata.core.R,0,0,0,0,0,0,0,0,0
androidx.lifecycle.livedata.R,0,0,0,0,0,0,0,0,0
androidx.lifecycle.extensions.R,0,0,0,0,0,0,0,0,0
androidx.lifecycle.R,0,0,0,0,0,0,0,0,0
androidx.lifecycle.service.R,0,0,0,0,0,0,0,0,0
androidx.lifecycle.process.R,0,0,0,0,0,0,0,0,0
androidx.legacy.coreutils.R,0,0,0,0,0,0,0,0,0
androidx.legacy.coreui.R,0,0,0,0,0,0,0,0,0
androidx.legacy.v4.R,0,0,0,0,0,0,0,0,0
androidx.documentfile.R,0,0,0,0,0,0,0,0,0
androidx.sqlite.db.framework.R,0,0,0,0,0,0,0,0,0
androidx.sqlite.db.R,0,0,0,0,0,0,0,0,0
androidx.print.R,0,0,0,0,0,0,0,0,0
androidx.localbroadcastmanager.R,0,0,0,0,0,0,0,0,0
androidx.cursoradapter.R,0,0,0,0,0,0,0,0,0
androidx.swiperefreshlayout.R,0,0,0,0,0,0,0,0,0
androidx.fragment.R,0,0,0,0,0,0,0,0,0
androidx.loader.R,0,0,0,0,0,0,0,0,0
androidx.recyclerview.R,0,0,0,0,0,0,0,0,0
androidx.arch.core.R,0,0,0,0,0,0,0,0,0
androidx.appcompat.R,0,0,0,0,0,0,0,0,0
androidx.customview.R,0,0,0,0,0,0,0,0,0
androidx.databinding.library.R,0,0,0,0,0,0,0,0,0
androidx.slidingpanelayout.R,0,0,0,0,0,0,0,0,0
androidx.coordinatorlayout.R,0,0,0,0,0,0,0,0,0
androidx.cardview.R,0,0,0,0,0,0,0,0,0
androidx.media.R,0,0,0,0,0,0,0,0,0
com.google.android.material.R,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.tasks.AppNavigationTest,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModelTest,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.tasks.TaskItemUserActionsListener,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.tasks.TaskItemNavigator,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksFragment,1,0,0,0,0,0,1,1,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksListBindings,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksActivity,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksAdapter,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.tasks.TasksNavigator,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.util.SingleExecutors,0,0,0,0,0,0,1,1,0
com.example.android.architecture.blueprints.todoapp.util.DiskIOThreadExecutor,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.util.EspressoIdlingResource,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.util.DiskIOThreadExecutor,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.util.AppExecutors,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.util.SnackbarUtils,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.util.ActivityUtils,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.util.SimpleCountingIdlingResource,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.custom.action.NavigationViewActions,0,0,0,0,0,0,0,0,1
com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModelTest,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.statistics.StatisticsScreenTest,0,0,0,0,0,0,1,1,0
com.example.android.architecture.blueprints.todoapp.statistics.StatisticsActivity,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModel,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.statistics.StatisticsFragment,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModelTest,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailScreenTest,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModel,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailFragment,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailNavigator,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailUserActionsListener,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailActivity,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModelTest,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenTest,0,0,0,0,0,0,1,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskNavigator,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskActivity,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskFragment,0,0,0,0,0,0,1,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.data.source.TasksRepositoryTest,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.TasksRepository,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.TasksDataSource,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.data.FakeTasksRemoteDataSource,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.Task,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.remote.TasksRemoteDataSource,0,0,0,0,0,0,1,1,0
